id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
335982,Bangalore,2008-04-18,Brendon McCullum,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,,Asad Rauf,Rudi Koertzen,0,0,0,0,Royal Challengers Bangalore
335983,Chandigarh,2008-04-19,Michael Hussey,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,,Mark Benson,Suresh Shastri,0,0,0,0,Kings XI Punjab
335984,Delhi,2008-04-19,Farveez Maharoof,Arun Jaitley Stadium,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,,Aleem Dar,G. A. Pratapkumar,0,0,0,0,Delhi Capitals
335985,Mumbai,2008-04-20,Mark Boucher,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0,,Steve Davis,Daryl Harper,0,0,0,0,Mumbai Indians
335986,Kolkata,2008-04-20,David Hussey,Eden Gardens,0,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,,Billy Bowden,Krishna Hariharan,0,0,0,0,Kolkata Knight Riders
335987,Jaipur,2008-04-21,Shane Watson,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6.0,,Aleem Dar,Russell Tiffin,0,0,0,0,Rajasthan Royals
335988,Hyderabad,2008-04-22,Virender Sehwag,Rajiv Gandhi International Stadium,0,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9.0,,Ian Howell,Amiesh Saheba,0,0,0,0,Deccan Chargers
335989,Chennai,2008-04-23,Matthew Hayden,MA Chidambaram Stadium,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,,Daryl Harper,G. A. Pratapkumar,0,0,0,0,Chennai Super Kings
335990,Hyderabad,2008-04-24,Yusuf Pathan,Rajiv Gandhi International Stadium,0,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,,Asad Rauf,Mark Benson,0,0,0,0,Deccan Chargers
335991,Chandigarh,2008-04-25,Kumar Sangakkara,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66.0,,Aleem Dar,Amiesh Saheba,0,0,0,0,Kings XI Punjab
335992,Bangalore,2008-04-26,Shane Watson,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,,Mark Benson,Ian Howell,0,0,0,0,Royal Challengers Bangalore
335993,Chennai,2008-04-26,Jacob Oram,MA Chidambaram Stadium,0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,,Billy Bowden,Arani Jayaprakash,0,0,0,0,Chennai Super Kings
335994,Mumbai,2008-04-27,Adam Gilchrist,Dr DY Patil Sports Academy,0,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10.0,,Asad Rauf,Suresh Shastri,0,0,0,0,Mumbai Indians
335995,Chandigarh,2008-04-27,Simon Katich,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,bat,Kings XI Punjab,wickets,4.0,,Rudi Koertzen,Ivaturi Shivram,0,0,0,0,Kings XI Punjab
335996,Bangalore,2008-04-28,Mahendra Singh Dhoni,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,,Billy Doctrove,Russell Tiffin,0,0,0,0,Royal Challengers Bangalore
335997,Kolkata,2008-04-29,Sanath Jayasuriya,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0,,Billy Bowden,Arani Jayaprakash,0,0,0,0,Kolkata Knight Riders
335998,Delhi,2008-04-30,Glenn McGrath,Arun Jaitley Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,10.0,,Aleem Dar,Ivaturi Shivram,0,0,0,0,Delhi Capitals
335999,Hyderabad,2008-05-01,Shaun Marsh,Rajiv Gandhi International Stadium,0,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7.0,,Billy Doctrove,Russell Tiffin,0,0,0,0,Deccan Chargers
